product_id,customer_id,complaint_id,Complaint_Description,open_date,close_date
PRO076,441dbe5aa34c7b614be5ceb842001a02,18,I have been complaining the issue every week that Big Basket promises to deliver the order before next day 7 am if we are not getting order of Tea on time,02-05-2020 17:52,02-05-2020 17:52
PRO597,4e6fbf386c2076b95813eea3cb438a14,19,"Order of refined rice bran oil packet was leaked.
",15-06-2020 08:13,23-06-2020 08:13
PRO289,41c34c255ad1afe994d16365b81a200b,20,"Hi 

Yesterday my mom paid twice the amount for sunflower oil 
3 bottles were free with 3 liters of sunflower oil.",25-08-2020 09:32,02-09-2020 09:32
PRO287,a2990e7d5162b8c79d2a89d4fe8fec83,21,"Hii, 
My olive oil order is  which amount was ra 302, but when I paid through my debit card on yesterday , debited but order not placed.",23-01-2020 21:23,23-01-2020 21:23
PRO300,51532cf302c427e804062aba65c5efcc,22,I have purchased Safola oil in Big basket with total cost of 704.00 on 5th March 2021. I tried to make payment via Netbanking but it was not working.,03-03-2020 08:45,09-03-2020 08:45
PRO361,f615b9fba62078d016eced173b68b46a,23,"I made an online payment for sugar container , the first transaction failed so I tried again. But the amount was debited from my accout two times.",15-02-2020 14:45,24-02-2020 14:45
PRO388,c74f90c33e410e49b09295977ad0e632,24,I have made payment through paytm UPI for a big basket order. Amount got debited but order of masala spice rack is placed under Cash on delivery,09-06-2020 02:32,20-06-2020 02:32
PRO777,5a5a2395b3f4e05559e4d319a85bb8f0,25,brownrice delivered by bigbasket. It turns into normal rice Bigbasket is cheating on their customers with fake colored rice.,01-03-2020 03:22,03-03-2020 03:22
PRO766,8b40ebca90678b49830f04a84116370e,26,Expired product (atta sugar control)delivered,09-08-2020 23:37,14-08-2020 23:37
PRO028,6eebaa1366d1fecc9273ab402af38d5d,27,Rotten/Bad smell /Unusable onions from BigBasket ordered this sunday and today . very bad customer service and not giving proper response when any complaint is raised in their app.,21-03-2020 06:56,21-03-2020 06:56
PRO371,d667ea9696496830a23ff4a8e38db1e3,28,BB Big basket (Popular) brand supplied sugar on 21st October 2020.On opening slight bluish particles inside the pack.,29-06-2020 22:15,13-07-2020 22:15
PRO482,c11f08a4824c29c57464c20ac031cfc6,29,"Paying bigbasket is a Big Problem. This is the 4th Instance I ma facing this issue, everytime my Blood Pressure increasing
1- Payment Transaction Failed paying via Laptop using PayTM Wallet
2- Payment Transaction Failed paying via Laptop using Credit Card
3- Payment Transaction Failed paying via MobileApp using PayTM Wallet
4- Payment Transaction Failed paying via MobileApp using Credit Card
5-Tried to fund the Bigbasket Wallet via Laptop using Credit Card
6-Tried to fund the Bigbasket Wallet via MobileApp using Credit Card
I dont have CASH
Nothing of this worked...  I was ordering  Dabur Chyawanprakash Sugarfree.",12-01-2020 15:48,25-01-2020 15:48
PRO113,3283abacb775a93f517302541826d786,30,Big Basket packs personal hygiene and cleaning products like Harpic and Lizol with edibles like biscuits which are not good.,23-08-2020 17:33,26-08-2020 17:33
PRO129,803375c9f4f0d6ff92d41fdf97842f9e,31,"They have cancelled my order and blocked my account without any reason
It's not only me, they have done of several customers.",28-01-2020 05:56,31-01-2020 05:56
PRO541,15df61aa45e8b81407e1dbcaf8a975fc,32,"I have called Big Basket multiple times and they are not till free calls.
I have told them over the last 6 months ...",07-11-2020 03:46,18-11-2020 03:46
PRO637,14d326ff26ddc3801ce1d114912438b2,33,"I have ordered 40 products amounting to rupees 2997. Based on that they have added two items free as gift.
1. Fres…",03-05-2020 19:27,07-05-2020 19:27
PRO007,9343ad636d5f8c53eccc5229f6b6ffe3,34,"Found foreign item in baby's food, Nestle cerelac wheat apple cherry, it is not fully powdered, will be difficult for baby.",30-03-2020 21:58,04-04-2020 21:58
PRO367,6bd987d89796d42d17d1581c76f3edb6,35,"Everytime I order their products, they purposefully leave out 2-3 items, so we can reorder again and meet their minimum  requirements.",05-12-2020 06:46,11-12-2020 06:46
PRO553,6f71faf65a5de1ae7579315eb83a0735,36,"An empty perfume bottle was delivered to me. The condition of the empty bottle was also very pathetic, completely worn.",19-03-2020 09:09,30-03-2020 09:09
PRO555,44a201b41213d0cb2bfbafe2f17fd3d0,37,"Money deducted but Order ofHead & shoulder silky black shampoo placed under cash on delivery
I want my refund.",13-04-2020 06:20,28-04-2020 06:20
PRO003,da3a3394fe2d2e66e03a362996c4207d,38,Today (1 Oct 2020) bananas supplied are of very poor quality .Overripe for being given to animals .No response comes for complaint.,16-12-2020 00:39,31-12-2020 00:39
PRO217,83b30045e891ce55e307dd8b1e6140d3,39,The bill handed over to me by Big basket was only 1946.32 but I was charged 1988. ,23-05-2020 06:19,07-06-2020 06:19
PRO131,84c808c10ed2620dd1829f47959d9835,40,"to 3rd sept (paid to bigbasket on 27th june) and screenshot of my order on 4th of sept and yet to get any reply. Called bigbasket customer care on 10th and i get a call back from you after 2- 3 hrs.
Please look i to this matter and refund asap as it has been more than 2 months. LPG hose pipe.",11-12-2020 03:49,13-12-2020 03:49
PRO610,4944ae402beecde21f97b5ac649cd1aa,41,"I have been a member of bigbasket for years. They started well but slipping downwards gradually. Yesterday, i placed an orderof JOHNSON'S Baby Hair Oil for today's slot. It was supposed to be delivered between 7. 30 and 10. 30 am. At 10. 20 i get a call that their bike got punctured very close to my house and it would be delivered shortly.But didnot delivered yet.",18-08-2020 23:21,23-08-2020 23:21
PRO032,0b2784a179b2e1327c5afd6df6a1b19a,42,"Recently, i made an online order with bigbasket, triplicane, chennai for vegetables, fruits, dust tea pack and dettol handwash refill. The total amount paid was rs. 1099/-all items ordered were delivered but to my dismay, discarded items only were found. Many vegetables were dried up without any freshness and the tomatoes found were rotten.",30-05-2020 07:36,13-06-2020 07:36
PRO001,bd400dcb59dffe9e53b7820f64737d52,43,"The apples delivered last time was completely rotten, 

Your order: ebro[protected] which was delivered on s...",29-07-2020 10:17,04-08-2020 10:17
PRO220,b2ab620b53e3b69f07728d9645134285,44,"I funded the wallet on 20th august, amount got deducted from the bank account but didnâ€™t credited in wallet, no respon...",14-05-2020 12:28,25-05-2020 12:28
PRO809,4ef4f99132bc7ad0d21bb0a7487d1fce,45,I placed a order of   sweet almond oil with bigbasket and paid the amount via net banking and show them the proof of payment and complained them on this via email and chat but no good response so far.,04-08-2020 13:12,15-08-2020 13:12
PRO554,ad44127de955ed1bf705d59c99a27163,46,"Invoice no mgui[protected]

I asked for jhatka chicken curry cut, but big basket supplied halal certified pr...",18-09-2020 21:59,26-09-2020 21:59
PRO924,8b17c3136acaa0d568207f282c9434e3,47,"I had purchased a bigbasket membership. I still do not get any slots and i have to pay for shipping. I had placed an order on 22 june, 2020. They did not deliver all the items and refunded rs. 86 to my bigbasket wallet against the items that were not delivered. After that day, i kept trying to purchase items but their slots are always full.",19-04-2020 22:48,04-05-2020 22:48
PRO224,3414c83e2c90da70206c954609868183,48,"Order id mmfo[protected]

I ordered goods worth 1222/- and made online payment on 20th july 2020 and as per ...",09-03-2020 21:15,18-03-2020 21:15
PRO901,3a6586139c630a9648d74d1da4a11cd8,49,"I have faced 100 times
After order acceptance they never deliver product???",15-12-2020 13:00,26-12-2020 13:00
PRO773,b878696ace463ab208c251feb755b66d,50,I recently ordered some groceries(sona masuri rice and dal) on big basket and later they messaged me that i cant recieve them due to the lockdown.,23-08-2020 07:53,28-08-2020 07:53
PRO711,16a01ae0a5b5a610f535c03cd71c91a6,51,"Order: DietGro Pizza
Complain:
Big basket has cancelled my order quoting non delivery due to gate keeper didn't allow.
The above claim is totally false and it reflects poor customer service only.
For your information, following points i want to submit:
1...",13-02-2020 19:24,25-02-2020 19:24
PRO740,ac1acb6f8d225a70c72815199f63a383,52,"complaint against BB daily/Bigbasket as they are not refunding my amount. For one of my order I did actually paused the subscription and I did received a confirmation text message however the money got deducted and now they are refusing to refunds saying we don not accept after 10:00 PM. Sweet chilli garlic sauce was daily order.
",09-05-2020 19:25,18-05-2020 19:25
PRO877,1e442ae42cba4e82336cb1c367c7b75d,53,I ordered 70 items worth 7700 rs on 29th june 2020. And they promised me to deliver the items on 30 june 2020 4pm to 7pm.But they have not delivered it.,11-03-2020 08:26,23-03-2020 08:26
PRO874,420a47b906d307d5973d55dce307955a,54,"I have order some groceries(Organic Sprouted Ragi and some other items) from bigbasket but due to some quality issue i want to return that product but bigbasket deactivated my acount saying that misuse of policies
I just want to return the product
They deactivated my acount and i have done payment of my order through my credit card
They deactivated my acount and they cancelled my order and amount that i paid through my credit card goes in that deactivated acount bb wallet kindly do the needfull...",29-11-2020 11:11,11-12-2020 11:11
PRO919,7008f7f2a9a222280115cc2a4f2e5b34,55,Company provide rotten rice noodles. after contact customer care don't get any positive responce . They just ignore the complaint.,19-11-2020 02:30,25-11-2020 02:30
PRO905,7dba4217ec92d64903e5c6df3d01b7d5,56,"My big basket account is inactive and i have much wallet balance in it 
Just because i complaint about the custard powder.",02-02-2020 04:14,16-02-2020 04:14
PRO760,c821a8b90c1d0df109200a6ca4926eb9,57,"I had ordered a few items coconut cookies, chocolate cookieswhich were to be delivered on 24th may 2020 and for that reason i had to add money to my bb walet.But my walet is not recharging.",20-05-2020 04:47,31-05-2020 04:47
PRO782,0fbb00ce9569487ef8b95b9ec0b8e118,58,I have paid 6225 for anti diabetic ayurvedic herbal via net banking and the amount got debited from my account however i got the message from big basket that order not booked.,13-08-2020 12:38,16-08-2020 12:38
PRO888,56d732fd476e4dbe6a73a180fc3d5ea2,59,"Home page in app, indicated availability of slot as standard with timings. But after selection of items while proceeding there is no slot available.I was purchasing traditional rice and ready to eat dal tadka.",19-11-2020 07:05,03-12-2020 07:05
PRO869,750f02af7b06bb81d84d3e44b9afc6d3,60,I became a bb daily customer by virtue of take over from daily ready to eat poha. Ever since itâ€™s a pathetic service. It been not on time. Product is also not good quality.,25-03-2020 20:14,31-03-2020 20:14
PRO761,92d42631de96e4885dfc8b1a13d71e3a,61,"
Bigbasket (Bb) app has been storing our last used personal debit/ card information on their app without out our permission (Mentioned as frequent used cards). This is a serious issue related to our personal information which can lead to big financial loss.
Another issue is that bb app/ portal is not secured and our credit/ debit card information saved on bb app illegally are being used by  other hackers to do fraudulent transaction...",20-09-2020 12:04,26-09-2020 12:04
PRO872,35349e5366b6dcd7f8a51e2bf1b3497e,62,I have ordered instant pav bhaji and it is not delivered yet they are marked as delivered. This is 3rd time i am facing this issue.,19-01-2020 18:11,31-01-2020 18:11
PRO154,87c0f7ef8ba07bdfeb3d7bbcd12d5af2,63,I didn't receive one item i.e. chicoo from my order but it is billed on payment slip and i also dialled on customer care no but they are not accepting.,25-06-2020 14:05,01-07-2020 14:05
PRO292,53b750baea96bc81ee0579b3823f14bb,64,"1209 deducted for sea food oil from bank account while bigbasket denied payment received. Moreover, they are saying to pay again as cash on delivery...",20-10-2020 16:39,23-10-2020 16:39
PRO083,6cd0023a7262f2b816862e3107508624,65,"Their warehouse employees, delivery boys are theifs. I always have issues with some or other missing product which they bought. Yesterday burger bun was missing.",20-08-2020 06:20,25-08-2020 06:20
PRO239,58be67590e18c3d1e7d611dc65eda107,66,"From chennai

Order number bco[protected]... Dated today.

Item number...5…boneless chicken was not clean…",30-08-2020 20:26,14-09-2020 20:26
PRO854,1ad85378f72ecb62694df328c7ebca32,67,"Team, 

I have been trying to get in touch however no one is bothered to answer me, would like to say that my ordered Disinfectant Spray will be delivered.",10-06-2020 23:09,10-06-2020 23:09
PRO786,2d1f95b25c68a69447a4d65090b516ea,68,"for a month or above bigbasket is unable to deliver in my area. So, I want my money back to my bank account as soon as possible.
I've put a mail to bigbasket customer service portal but didn't receive any response.
I need this money urgently...",25-12-2020 13:56,31-12-2020 13:56
PRO808,21ad7ae980e9af43f2b9c5908c5307e0,69,"My product was charcoal skin care and once the delivery person came and called i payed the order through google pay. The delivery guy was asking for cash, earlier he does not tell this.I need to argue with him for longer time.",01-09-2020 03:13,09-09-2020 03:13
PRO142,f1e2d5d8eb4c5af5e9012816294462ff,70,"I have returned my product aptamil, but refund is not yet initiated. Customer care is not working and no reply with chat...",19-02-2020 18:54,21-02-2020 18:54
PRO789,4cbd9f8fc1cd7aafe6526711d8890870,71,"regarding the same to bigbasket on 11/5/2020 itself.
Bigbasket gave a reply to the mail on 17/5/20 saying that they have raised a new request for transferring the money and to wait for 7-9 days.
Then when i called the bigbasket customer care to enquire about it they told me there was no request for refund placed on 10/5 or 11/5, also though the time for replying the mail is the same day they were sorry that i recieved a reply after 5 days...",28-08-2020 04:21,30-08-2020 04:21
PRO009,a44c2718ceef807f0b77a73b5192127b,72,groceries items from bigbasket and my order no. is MLFKO-(protected) using airtel money wallet on[protected] of Rs 634 . Bigbasket send message that payment is failed but my money Rs 634 is debited from my airtel money wallet to IBIBO WEB so please do not show cash on delivery or refund my money in my airtel money wallet ...,19-08-2020 14:58,01-09-2020 14:58
PRO570,0157d2d9039fc91ade6a389d733d8a16,73,"Several items ordered were not delivered (pressure cooker ), did not get item, please give refund, had ...",11-05-2020 21:08,15-05-2020 21:08
PRO034,1487098a1d83d17bd6b04c1fbe1aafb7,74,"the regular user of bigbasket i would like to bring your attention that i have been trying to reach your executive for many reason, but no one is available in in ""ask me"" chat option. Luck by chance if somebody connects they drop a message disappear quickly.
1. I wanted to return peas, which fall under 2 day return policy, but slot was never available.",14-06-2020 15:09,18-06-2020 15:09
PRO857,708ea8d0d3527b8581c3a4b0a8fbefb7,75,"Big basket makes deliveries to my neighbour, but I have not got a time slot the whole month. When I open the app it say locatioin is unreachable.",29-11-2020 04:56,30-11-2020 04:56
PRO215,839b4dc2602b8041b1593c8ad4c08682,76,"I had subscribed for amul butter milk along with gokul cow milk after my recharge of rs. 1000 done on 10th april.
But service not started yet.",07-10-2020 23:48,15-10-2020 23:48
PRO087,260e209f14f2838911c24a44769dd980,77,The delivery person put the milk packages and vegetables on put on the floor without considering any hygiene issues these are making service bad.,17-04-2020 23:39,24-04-2020 23:39
PRO223,2f6cdb93c2573a1a5f1a2d927c574ec4,78,I am a regular user of bigbasket and would like to bring your attention to a particular issue. Today i had a delivery for order chickenkurma. I live in a flat in the first floor. During this lockdown period i am personally thankful for the services we are receiving till date in the midst of the odd like some delivery person are not behaving good.,21-02-2020 08:17,06-03-2020 08:17
PRO892,c9f577d8ec59067f0f32cb099f14ae63,79,I have credited 368/- on 23/03/20 to big basket daily wallet for instant popcorn and placed order for 28/03/20. But due to lockdown they have stop this service.,31-08-2020 04:29,10-09-2020 04:29
PRO424,a2df3f2abba350e6bbe53f43eafb781b,80, Sent mail also to [protected]@bigbasket. com but no response. Every day they debit my account but do not deliver my order of dry dog food. They ask me to wait till 10am but no delivery done and when complaint raised they will refund. The same practice going on regularly. Request to resolve the issue and arrange for smooth delivery or cancel my account and arrange for total wallet balance refund...,27-10-2020 15:29,06-11-2020 15:29
PRO184,0d25047b8fa2245d9bd6b2901623460e,81,"For my March 2020 order, big basket delayed the delivery. So I had to cancel. Still they charged me 30 rs cancellation of california almonds.",10-07-2020 23:39,11-07-2020 23:39
PRO082,ce06ca41a78f036031a1fd73d3088c2f,82," Bigbasket delivered one packet of fresho whole wheat bread  on 20. 4. 20 but the valid date is 19. 4. 20 with manufacturing date as 16. 4. 20. in fact, in our feedback on delivery of the order yesterday, the bad quality of the bread delivered (Turned into pieces) was reported together with our complaints on quality of other products but no response is received from them so far...",03-02-2020 06:50,09-02-2020 06:50
PRO276,ce06ca41a78f036031a1fd73d3088c2f,83,"I have ordered 3 times in bigbasket coimbatore.
each time they providing old and closure expiry products...",03-02-2020 06:50,14-02-2020 06:50
PRO908,fc1785868494a5351ce1056f9aaa1c33,84,In the beginning of lockdown i have tried to order ration for which the transaction was accepted and suddenly cannot delivered.,01-08-2020 22:02,05-08-2020 22:02
PRO400,b7579225852eabd84276dea92fc30daa,85,"I ordered gokul buffalo milk 1 leters, amul masti dahi 400 gm on 18/april/2020.

and paid the money, but bot...",06-04-2020 13:27,13-04-2020 13:27
PRO428,22f6d1d5bd66b7ef3ff51216fd75643b,86,"I have subscribed for Akshaykalpa slim milk. 2 packets

I receive one packet of the same on 20th April. The ...",11-03-2020 05:03,12-03-2020 05:03
PRO680,0c41d3676a3676b647ac6a973f61badc,87,"Hii, 
I am nikki sharma. Few days before i order some groceries from big basket but due to lockdown the item not d...",30-09-2020 07:14,04-10-2020 07:14
PRO738,c9507d688c7edb17caa9ee99a915a7ee,88,"I have seen that the people in big basket daily are really unprofessional and unethical by not delivering the product, n...",09-12-2020 15:13,13-12-2020 15:13
PRO035,e69714d6b494f7279512327ebcc01889,89,"I got rotten/spoiled cabbage from big basket and the very same day (i.e on 17th April 2020)
And they supposed the ...",27-03-2020 15:53,03-04-2020 15:53
PRO187,16391e75a1bbcb93785c6e816834227a,90,"
Hi, i was chasing bigbasket every 2 hours regarding cashews on the day delivery was supposed to happen i. E. 15 april.
I also followed up thrice on 16th.
I also followed up thrice on 17th.
Now on 18 april, they did not grant me refund, saying that the order is past 48 hours.",20-03-2020 21:31,04-04-2020 21:31
PRO685,0f0954bf97e454075ed89d562f01d8dd,91,"got a call from the bigbasket delivery man from the mobile no [protected] and he confirmed the address and said that order  of Auraa Tamarind Powder will be delivered at about 08:00 pm.
On 17th april 2020, 01:00 pm i got a message that my order has been cancelled and when i called customer care, they said the items are unavailable...",14-08-2020 09:54,17-08-2020 09:54
PRO061,4414a05a42bf54509daafcc5e6ecafed,92," And i am a bigbasketier for longer time, than a bb daily customer. And hope they look at this soon as even bb customer care is not able to connect me to bb daily call center nos provided.
Thank you,
Please see the order:
corn flakes
",15-07-2020 05:07,22-07-2020 05:07
PRO264,c1f5ed341915cb29da60ecefd3679e06,93,"Sir
I placed an order of chicken cutlet with bigbasket for rs953. It was canceled and big basket said they refined the amount to my source but i haven't received any amount till today. They gave me a unique request id - a7b391b40bb455fa84432c3b6f1aeef.
My bank hasn't received any of the amounts and i have asked bigbaket again and again called them also but no response is received from their side...",11-05-2020 22:18,19-05-2020 22:18
PRO399,4f219dce05e4878040dbfaa3308573d1,94,"I dint get any order today 13th April and it is showing like pedigry puppy milk got delivered.. 

This is my second email …",21-06-2020 06:16,04-07-2020 06:16
PRO197,5d5d1ea621e982d29cf41b788ba83f64,95,"Enclosed is the screenshot of the order[protected] details. I have been following up n number of times (email, calls, me...",03-09-2020 20:15,15-09-2020 20:15
PRO704,ed401ce445967c386a2373dcb0d4e72a,96,"Below are my order details and incident/action against it:

1. 2 Nandini curd on 03/31 : Not received. There...",20-02-2020 18:50,27-02-2020 18:50
PRO202,56d361be1eb9434e60410e456a56a559,97,"I requested a refund for the products not delivered to me on 12-04-20.
They dint respond on the ssme day.. On the ...",22-05-2020 06:39,01-06-2020 06:39
PRO119,011671897080a38fa57f3c190a310d49,98,I am not being able to put an order in big basket always it is showing slots are full...this is very disappointing.i had urgent order of khajoor.,24-01-2020 05:48,07-02-2020 05:48
PRO913,e76048064c31c156e15c4a07c48a3b1c,99,"an online order instant veg cheese with bigbasket on 19. 03. 2020 and paid online. Bigbusket accepted the order vide their order no mkoo[protected] with delivery slot between 5-30 pm to 8 pm on 24th march 2020.
On 22rd march ""janta curfew"" was requested and on 22nd march a ""lock down"" was declarered commencing 23rd evening by pm sri narendra modi. Payment not refunded.",02-10-2020 20:34,07-10-2020 20:34
PRO207,7d88070a629d7cb6d17074ff91e68503,100,Iv sent email to the bb team but haven't recievd any response yet. The last order which i made on the bb app couldn't b ...,15-02-2020 15:35,22-02-2020 15:35
PRO517,c8ecf49c62e0943b4a44bad2af3f0e5f,101,I had placed order of grocery items bigbasket last month 19th march and the order no. Was	mkoo[protected]. The delivery date promised on 24th of march. I was ok with the order with the situations as of 19th march. But in next 2-3 days situation worsened for corona effect. Things which i had ordered can not be accepted due to health safety reasons and i went ahead and cancelled the order on 21st of march. but they charged me 50%.,08-03-2020 00:27,16-03-2020 00:27
PRO437,9a088786e619fa69c5d54223a0903d49,102,Because Bigbasket Is Neither Delivering Goods Nor Refunding My Money Which I Paid Upfront...,19-04-2020 09:30,02-05-2020 09:30
PRO307,c8e2e9dcf35592ed3c5c2dd932cfc779,103,"5 different orders that were placed well in advance, were cancelled just in time for the delivery.",02-12-2020 11:32,15-12-2020 11:32
PRO427,7f033cc612ecfffbe7c1ca5e4807a5cf,104,Bb daily is charging price for nandini shubham orange milk packet for rs43 where as market price is rs 41. ,23-01-2020 13:39,24-01-2020 13:39
PRO222,8e6524e5a9d3b947669c4202dcca38c4,105,"Ordered chicken and after 3 days on freezer realized the expiry date was 3 months ago.
Texted to customer service ...",14-08-2020 02:54,16-08-2020 02:54
PRO122,4c3163e024bd8bbd0843b6fe3604bd7e,106,I have requested for vegetables through app after recharging rs.2000.00. They could not deliver 75 percent of vegetables...,24-07-2020 19:09,01-08-2020 19:09
PRO546,ed0096b07e87f8f4144ec8298961241d,107,getting cheated at bigbasket. So i happen to order some fruits and vegetables in case i have a busy week or something was unavailable in the vegetable market. I ordered  fruits and vegetables. I got an email 2 hours before delivery saying modification in the weight of the items.,17-01-2020 01:41,22-01-2020 01:41
PRO918,9ed458b6c128228cc98433539b2027b2,108,"They sent me a rotten, foul smelling vegetable. How can you believe that its a miss from their quality assurance team. Please be aware of this things.",13-04-2020 20:58,13-04-2020 20:58
PRO285,8a720123cd5c180513f6340bc717824e,109,Today was a bad day with big basket. I am regular customer. But today my ordersof  sea fen slices were cancelled without any prior notice.,14-03-2020 07:58,16-03-2020 07:58
PRO012,1ab18a93183fa43daeeac6eefd12f746,110,"buy any products from bigbasket, they are sending us bad quality products of vegetables and used products to us.
If i log a complaint they will just refund only for few items,
This is happening on every order, they are third class company and we are just fools to accept those dirty products from bigbaskets...",12-08-2020 10:33,24-08-2020 10:33
PRO870,8312052fb72da6debe8ca86d2c34d29b,111,"The refund of non delivery of sugar has not been credited to my account yet...
And the brown chana daal was broken...",28-02-2020 20:10,08-03-2020 20:10
PRO250,22a10db84c0324464bb842e5bec1d6e4,112,"My orderof chicken  was not delivered yesterday as given slots, despite of multiple follow ups not recieved any response from bb.",22-03-2020 20:40,04-04-2020 20:40
PRO338,3aa3e26fcdda0a303465cf3472bd2248,113,"I ordered couple of products from Bigbasket on July 27th, 2019.
I coincidentally checked the printed price on the product (that was cardamom 20 g). The printed price was Rs 70. However, the charged price to me was Rs 105. I usually never match the price of the products. I don't know how many times such discrepancies would have happened...",11-03-2020 06:08,26-03-2020 06:08
PRO645,e7d9c6487ba15bee967f0f1305c75c8b,114,I placed order of vivegar 3 days back and today was the scheduled delivery. However I didn't receive any order. ,03-03-2020 13:47,10-03-2020 13:47
PRO133,5ca683b344929c41668368dcf9d5b168,115,Toothpaste was delivered with open seal condition. Many mails and calls were sent seeking for replacement of the item. But no response.,30-08-2020 01:07,30-08-2020 01:07
PRO831,7c88a2d2b472f20ec432895b87f33ddd,116,I had a order id : mbo[protected] which was delivered on 6 july. It was placed using cash/card on delivery payment optio...,07-03-2020 20:27,20-03-2020 20:27
PRO312,4ff608f0d5d0c0c8772eecf178ba2c7f,117,Too many issues. It has become norm for them to deliver near expiry products. Yesterday I got expired Pistachios.,01-10-2020 16:52,12-10-2020 16:52
PRO226,50cb9d021d1b098d40d98fc0ae2d3bc9,118,Client 180519. I order chicken on 18/5/2019 2 kgs - 490/-. While making payment i recd the message that the transction f...,09-07-2020 04:00,24-07-2020 04:00
PRO460,6df926e23e9d935e27bcab0e120511d8,119,i ever had with you bigbasket. Where is your promise of delivering fresh products?...,01-05-2020 02:43,10-05-2020 02:43
PRO829,57b95284a34bb3f36a5b4edbdfa4bad8,120,Today i dnt get my daily subscription (Milk) and its shows on bbdaily app that milk is delivered and money is also deduc...,27-08-2020 09:08,28-08-2020 09:08
PRO017,7d8720ec0025097d77c1df010b3415f8,121,and vegetables from bigbasket. Past 4 months there are sending damaged vegitables amd fruits every raised complaint and getting refund. Always i will get respond from big basket further it wont happen. But waste of time again it will happen then what is the conclusion? Bigbasket need to action strictly dont waste our time and money...,06-12-2020 11:08,14-12-2020 11:08
PRO074,bdf6663e51ad5bb48b08b9b37e6aa086,122,"responsible for this, bigbasket why dont you inspection the juice before it get deliverd and also why you are tie up with this company which supplies this type of product. ",23-08-2020 13:21,23-08-2020 13:21
