product_id,product_category_id,product_name,product_price,product_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_image_path
PRO020,CAT001,Strawberries,169.0,252,300.0,4.0,3.0,5.0,https://www.bigbasket.com/media/uploads/p/m/40104684_11-fresho-signature-just-berries-dehydrated-candied-fruits.jpg
PRO021,CAT002,Carrot,18.0,105,500.0,15.0,4.0,5.0,https://www.bigbasket.com/media/uploads/p/m/40022634_5-fresho-carrot-organically-grown.jpg
PRO022,CAT002,Broccoli,38.0,176,380.0,12.0,4.0,10.0,https://www.bigbasket.com/media/uploads/p/m/10000063_20-fresho-broccoli.jpg
PRO023,CAT002,Corn,40.0,249,350.0,18.0,6.0,6.0,https://www.bigbasket.com/media/uploads/p/m/40004992_14-fresho-sweet-corn.jpg
PRO024,CAT002,Cucumber,20.65,119,500.0,17.0,5.0,5.0,https://www.bigbasket.com/media/uploads/p/m/10000599_12-fresho-cucumber-english.jpg
PRO025,CAT002,Eggplant,23.5,243,750.0,14.0,7.0,7.0,https://www.bigbasket.com/media/uploads/p/m/10000054_17-fresho-brinjal-bottle-shape.jpg
PRO026,CAT002,Green Pepper,22.0,166,500.0,12.0,8.0,8.0,https://www.bigbasket.com/media/uploads/p/m/10000069_20-fresho-capsicum-green.jpg
PRO027,CAT002,Maushrooms,25.0,128,100.0,6.0,3.0,3.0,https://www.bigbasket.com/media/uploads/p/m/10000273_16-fresho-mushrooms-button.jpg
PRO028,CAT002,Onions,25.0,139,750.0,5.0,5.0,5.0,https://www.bigbasket.com/media/uploads/p/m/10000148_29-fresho-onion.jpg
PRO029,CAT002,Potato,14.0,120,900.0,6.0,5.0,5.0,https://www.bigbasket.com/media/uploads/p/m/40023476_4-fresho-potato-organically-grown.jpg
PRO030,CAT002,Pumkins,25.0,210,650.0,14.0,12.0,11.0,https://www.bigbasket.com/media/uploads/p/m/40050087_4-fresho-pumpkin-green-cut.jpg
PRO031,CAT002,Red Pepper,24.0,221,500.0,5.0,5.0,5.0,https://www.bigbasket.com/media/uploads/p/m/10000172_17-fresho-capsicum-red.jpg
PRO032,CAT002,Tomato,18.0,120,900.0,5.0,5.0,5.0,https://www.bigbasket.com/media/uploads/p/m/40022638_3-fresho-tomato-local-organically-grown.jpg
PRO033,CAT002,Brussel Sprouts,26.0,207,500.0,4.0,3.0,3.0,https://www.bigbasket.com/media/uploads/p/m/10000171_14-fresho-cabbage-red.jpg
PRO034,CAT002,Peas,22.0,143,850.0,10.0,2.0,2.0,https://www.bigbasket.com/media/uploads/p/m/103683_12-safal-frozen-green-peas.jpg
PRO035,CAT002,Cabbage,18.0,233,1000.0,10.0,10.0,10.0,https://www.bigbasket.com/media/uploads/p/m/10000066_25-fresho-cabbage.jpg
PRO036,CAT002,Chili,22.0,260,250.0,8.0,2.0,2.0,https://www.bigbasket.com/media/uploads/p/m/40053380_2-jk-powder-red-chili.jpg
PRO037,CAT002,Garli,41.0,187,300.0,6.0,4.0,4.0,https://www.bigbasket.com/media/uploads/p/m/10000115_15-fresho-garlic.jpg
PRO038,CAT002,Bean,35.0,134,300.0,6.0,4.0,4.0,https://www.bigbasket.com/media/uploads/p/m/40023469_6-fresho-beans-organically-grown.jpg
PRO039,CAT003,Vigna Mungo,40.0,162,500.0,1.0,1.0,1.0,https://rukminim1.flixcart.com/image/612/612/kj0bp8w0-0/face-pack/p/q/a/250-flash-facial-body-powder-wash-3-minute-facial-vigna-mungo-original-imafyz4vfbvbzdt6.jpeg?q=70
PRO040,CAT003,Mung Bean,87.0,142,1000.0,1.0,1.0,1.0,https://rukminim1.flixcart.com/image/612/612/klcmoi80/pulses/n/b/a/premium-quality-moong-dal-sabut-green-gram-beans-whole-500gm-original-imagyhhk8unkqz6x.jpeg?q=70
PRO041,CAT003,Red Lentil,68.0,122,1000.0,1.0,1.0,1.0,https://rukminim1.flixcart.com/image/612/612/k5y7tzk0/pulses/a/g/7/500-red-lentil-s-split-500grams-masoor-dal-value-life-original-imafzgtyh5mbdnug.jpeg?q=70
PRO042,CAT003,Bengal Gram,65.0,158,100.0,1.0,1.0,1.0,https://rukminim1.flixcart.com/image/612/612/kn3i1zk0/pulses/d/5/m/500-chana-dal-500-gram-organic-bengal-gram-chana-dal-chana-dal-original-imagfurtnxwpepvb.jpeg?q=70
PRO043,CAT003,Yellow Pigeon Pea,265.0,138,1000.0,1.0,1.0,1.0,https://rukminim1.flixcart.com/image/612/612/ju04akw0/pulses/c/q/a/1-arhar-dal-arhar-dal-rajdhani-original-imaff8awrukfqzgf.jpeg?q=70
PRO044,CAT003,Black Eyed Pea,150.0,231,500.0,1.0,1.0,1.0,https://rukminim1.flixcart.com/image/612/612/ke353m80/pulses/h/n/f/1-premium-quality-lobiya-black-eyed-peas-1kg-lobia-goshudh-original-imafuu9fbgemmwgp.jpeg?q=70
PRO045,CAT003,Moth Bean,80.0,187,500.0,1.0,1.0,1.0,https://rukminim1.flixcart.com/image/612/612/jxf05u80/pulses/4/y/j/200-moth-bean-mot-matki-safe-harvest-original-imafhvthpmwg36q4.jpeg?q=70
PRO046,CAT003,Horse Gram,85.0,193,200.0,1.0,1.0,1.0,https://rukminim1.flixcart.com/image/612/612/k7z3afk0/pulses/q/d/g/200-horse-gram-horse-gram-origo-fresh-original-imafq37httr8ddya.jpeg?q=70
PRO047,CAT003,Chickpeas,128.0,164,1000.0,,,,https://rukminim1.flixcart.com/image/612/612/kltryq80/pulses/r/j/p/500-white-kabuli-chana-flipkart-supermart-classic-original-imagyv5stgv42hbt.jpeg?q=70
PRO048,CAT003,Dried Green Peas,299.0,152,1000.0,,,,https://rukminim1.flixcart.com/image/612/612/kfyasnk0/pulses/m/m/z/500-organic-dried-green-pea-peas-vedarth-original-imafwb2k56htz46f.jpeg?q=70
PRO049,CAT003,Soybean,45.0,249,1000.0,,,,https://rukminim1.flixcart.com/image/612/612/k5h2jrk0/pulses/d/q/b/227-premium-soybeans-soya-bean-soya-bean-jioo-organics-original-imafz59ymc7kqk2r.jpeg?q=70
PRO050,CAT003,Kidney Beans,65.0,197,1000.0,2.0,1.0,1.0,https://rukminim1.flixcart.com/image/612/612/k7ksvww0/pulses/a/f/r/200-rajma-white-rajma-flipkart-supermart-select-original-imafps7uwwsqbgux.jpeg?q=70
PRO051,CAT003,Lablab,38.0,130,750.0,1.0,1.0,1.0,https://rukminim1.flixcart.com/image/612/612/kgtqhe80/plant-seed/m/b/8/50-creeper-garden-seed-jioo-organics-original-imafwzgamdygzgym.jpeg?q=70
PRO052,CAT004,Butter,97.0,134,250.0,10.0,2.0,6.0,https://rukminim1.flixcart.com/image/612/612/jb5e4y80/butter/3/p/r/100-pasteurised-amul-original-imafykhy5nqzs58h.jpeg?q=70
PRO053,CAT004,Cheese,218.0,214,400.0,12.0,3.0,8.0,https://rukminim1.flixcart.com/image/612/612/jaldz0w0/cheese/k/e/d/200-processed-cheese-cubes-processed-cheese-amul-original-imafy4qvhg8wn6hy.jpeg?q=70
PRO054,CAT004,Frozen Desserts,40.0,123,150.0,13.0,7.0,4.0,https://rukminim1.flixcart.com/image/612/612/kon887k0/book/p/z/g/365-ultimate-frozen-dessert-recipes-original-imag32ekuzegwhzx.jpeg?q=70
PRO055,CAT004,Ice Cream/Novelties,425.0,147,450.0,12.0,7.0,8.0,https://rukminim1.flixcart.com/image/612/612/kgmla4w0/decoration/b/z/r/1-small-0-79-ice-cream-cake-sunglasses-costume-glasses-props-original-imafwt9cptcg3bzg.jpeg?q=70
PRO056,CAT004,Milk,25.0,105,500.0,18.0,6.0,6.0,https://rukminim1.flixcart.com/image/612/612/kchzhjk0/milk/s/r/a/12000-tetrapack-uht-nandini-original-imaftme4axjfjjma.jpeg?q=70
PRO057,CAT004,Milk Powder,75.0,150,500.0,15.0,4.0,8.0,https://rukminim1.flixcart.com/image/612/612/k6v2ykw0/milk-powder/j/w/q/1-dairy-whitener-nestle-everyday-original-imafp8fpcgztgyq2.jpeg?q=70
PRO058,CAT004,Eggs,120.0,159,180.0,6.0,3.0,3.0,https://rukminim1.flixcart.com/image/612/612/jgzfv680/egg/e/3/r/6-white-eggs-jaya-original-imaf53w9zamzvjkt.jpeg?q=70
PRO059,CAT005,Kellogg's Chocos,390.0,126,1000.0,17.0,3.0,8.0,https://rukminim1.flixcart.com/image/612/612/klicfww0/cereal-flake/z/p/2/chocos-moons-stars-box-kellogg-s-original-imagymf3ke63vpmh.jpeg?q=70
PRO060,CAT005,Saffloa Classic Masala Oats,62.0,253,45.0,16.0,3.0,7.0,https://rukminim1.flixcart.com/image/612/612/kp5sya80/cereal-flake/d/f/a/peppy-tomato-masala-oats-pouch-saffola-original-imag3gn9mgujcuvh.jpeg?q=70
PRO061,CAT005,Corn Flakes,95.0,148,250.0,16.0,3.0,7.0,https://rukminim1.flixcart.com/image/612/612/ki3gknk0-0/cereal-flake/j/5/m/strawberry-corn-flakes-plastic-bottle-zerobeli-original-imafxyu3n5ffyqqk.jpeg?q=70
PRO062,CAT005,Quaker Oats,171.0,173,800.0,22.0,8.0,9.0,https://rukminim1.flixcart.com/image/612/612/kn3i1zk0/cereal-flake/y/7/d/oats-with-flavour-mix-pouch-quaker-original-imagfuhbzu3xhd5z.jpeg?q=70
PRO063,CAT005,Cinnamon Toast Crunch,352.0,246,250.0,14.0,7.0,7.0,https://rukminim1.flixcart.com/image/612/612/kcnp8y80/cereal-flake/q/5/f/314-french-toast-crunch-cereal-314g-box-general-mills-original-imaftpv6c9gq6wh4.jpeg?q=70
PRO064,CAT006,Hummus,280.0,226,500.0,7.0,9.0,5.0,https://rukminim1.flixcart.com/image/612/612/k0cqqvk0/ready-meal/h/a/x/100-ready-to-eat-black-olives-hummus-shelf-stable-gluten-free-original-imafk6dbrrfcgggj.jpeg?q=70
PRO065,CAT006,Cookies,30.0,136,75.0,18.0,5.0,5.0,https://rukminim1.flixcart.com/image/612/612/jbl3zbk0/cookie-biscuit/z/f/y/50-mom-s-magic-cashew-almonds-biscuits-sunfeast-original-imafypfngfzyx3k3.jpeg?q=70
PRO066,CAT006,Chips,150.0,180,500.0,17.0,4.0,9.0,https://rukminim1.flixcart.com/image/612/612/k16qzrk0/chips/q/s/d/130-original-style-salt-sprinkled-bingo-original-imafktpkkmyr68gk.jpeg?q=70
PRO067,CAT006,Dip,104.4,120,300.0,14.0,7.0,7.0,
PRO068,CAT006,Candy,120.0,233,75.0,16.0,3.0,7.0,https://rukminim1.flixcart.com/image/612/612/ko382a80/ayurvedic/d/y/o/chatpata-candy-pack-of-1-jiva-original-imag2mczhfdccftc.jpeg?q=70
PRO069,CAT006,Nuts,75.0,128,150.0,16.0,3.0,7.0,https://rukminim1.flixcart.com/image/612/612/kn4xhu80/nut-dry-fruit/l/w/b/400-black-dates-premium-imported-black-dates-200g-x-2-packs-100-original-imagfvhygfzywfp5.jpeg?q=70
PRO070,CAT006,Popcons,65.0,250,250.0,18.0,6.0,7.0,https://rukminim1.flixcart.com/image/612/612/ki0loy80-0/popcorn/n/o/m/270-popcorn-classic-salted-mw-90-gm-pack-of-3-3-microwave-pipo-original-imafxwm3ywnysgcj.jpeg?q=70
PRO071,CAT006,Snack Bars,130.0,211,300.0,18.0,6.0,7.0,https://rukminim1.flixcart.com/image/612/612/kjom6q80-0/cereal-flake/s/j/x/300-breakfast-protein-bar-variety-pack-of-6-almond-coconut-original-imafz74n6cxfeany.jpeg?q=70
PRO072,CAT006,Watermelon Juice,175.0,234,600.0,22.0,6.0,9.0,https://rukminim1.flixcart.com/image/612/612/khz693k0-0/drinks-juice/o/g/x/1160-basil-seed-drink-watermelon-flavour-290ml-pack-of-4-original-imafxvfr527zhv9f.jpeg?q=70
PRO073,CAT006,Apple Juice,145.0,183,450.0,22.0,6.0,9.0,https://rukminim1.flixcart.com/image/612/612/kbb49zk0/drinks-juice/g/h/g/1-fruit-juice-apple-tetrapack-real-original-imafszzp3k2fvuew.jpeg?q=70
PRO074,CAT006,Lemon Juice,130.0,133,500.0,22.0,5.0,9.0,https://rukminim1.flixcart.com/image/612/612/kltryq80/drinks-juice/z/g/1/500-refreshing-herbal-lemon-tea-500g-pouch-no-artificial-colors-original-imagyv9gdzukw5n3.jpeg?q=70
PRO075,CAT006,Water Bottle,45.0,150,1000.0,22.0,7.0,9.0,https://rukminim1.flixcart.com/image/612/612/jw84ya80/bottle/3/u/e/1000-kiyo-thermosteel-stainless-steel-1099-greenchef-original-imafgyg6n5mqqry8.jpeg?q=70
PRO076,CAT006,Tea,35.0,253,250.0,16.0,8.0,8.0,https://rukminim1.flixcart.com/image/612/612/kll7bm80/tea/e/u/z/15-vedic-kadha-box-herbal-tea-vahdam-tea-bag-original-imagynyz7ayzrwvp.jpeg?q=70
PRO077,CAT006,Coffee,75.0,216,400.0,17.0,8.0,8.0,https://rukminim1.flixcart.com/image/612/612/knw2v0w0/coffee/h/s/t/200-certified-organic-aaa-grade-green-coffee-beans-for-weight-original-imag2gqucwf4gg7d.jpeg?q=70
PRO078,CAT007,Chocolate Cake,45.0,226,150.0,16.0,3.0,7.0,https://rukminim1.flixcart.com/image/612/612/jr83gy80/ready-mix/d/8/f/250-eggless-cake-mix-rich-chocolate-baking-mix-pik-original-imafdy9pyxndgdzy.jpeg?q=70
PRO079,CAT007,Cream Cake,34.0,259,135.0,16.0,3.0,7.0,https://rukminim1.flixcart.com/image/612/612/kmf7ki80/ready-mix/p/a/a/725-vanilla-cake-making-kit-do-it-yourself-vanilla-cake-premix-original-imagfbmscphaz5bg.jpeg?q=70
PRO080,CAT007,Them Cake,35.0,233,125.0,18.0,6.0,7.0,https://rukminim1.flixcart.com/image/612/612/kjlrb0w0-0/baking-sparkle-topper/b/i/w/unicorn-horn-theme-festiko-original-imafz4wmgbxkgxmy.jpeg?q=70
PRO081,CAT007,Pizza Crust,75.0,124,150.0,18.0,6.0,7.0,https://rukminim1.flixcart.com/image/612/612/jzn0tjk0/book/9/2/3/pizza-crust-cookbook-original-imafjhhgdhpfnzaz.jpeg?q=70
PRO082,CAT007,Pita Bread,45.0,133,300.0,16.0,6.0,9.0,https://www.bigbasket.com/media/uploads/p/m/40037502_2-fresho-signature-pita-bread-mini.jpg
PRO083,CAT007,Burger Bun,29.0,182,150.0,15.0,6.0,9.0,https://www.bigbasket.com/media/uploads/p/m/40025356_2-fresho-burger-buns-safe-preservative-free.jpg
PRO084,CAT007,Puff Pastry,225.0,259,125.0,13.0,5.0,9.0,https://www.bigbasket.com/media/uploads/p/m/40083434_4-unroll-puff-pastry-sheet.jpg
PRO085,CAT007,Muffin & Cupcakes,159.0,211,250.0,18.0,7.0,9.0,https://www.bigbasket.com/media/uploads/p/m/40037495_2-fresho-signature-muffincup-cake-choco-chip.jpg
PRO086,CAT007,Pies,93.0,100,300.0,16.0,8.0,8.0,https://www.bigbasket.com/media/uploads/p/m/189909_7-lotte-choco-pie.jpg
PRO087,CAT007,Milk Bread,45.0,153,350.0,17.0,6.0,8.0,https://www.bigbasket.com/media/uploads/p/m/40037466_2-fresho-milk-bread-safe-preservative-free.jpg
PRO088,CAT007,Bread Roll,75.0,219,250.0,16.0,8.0,8.0,https://www.bigbasket.com/media/uploads/p/m/40167043_4-britannia-treat-croissant-cocoa-creme-roll-100-veg.jpg
PRO089,CAT007,Hot Dog Bun,85.0,224,450.0,15.0,6.0,9.0,https://www.bigbasket.com/media/uploads/p/m/40087522_2-fresho-multigrain-hot-dog-bun-safe-preservative-free.jpg
PRO090,CAT007,Breadsticks,110.0,147,100.0,13.0,5.0,9.0,https://www.bigbasket.com/media/uploads/p/m/40169956_2-the-bakers-dozen-chilli-garlic-grissini-breadsticks-100-wholewheat.jpg
PRO091,CAT007,Multigrain Bread,49.0,197,400.0,18.0,7.0,9.0,https://www.bigbasket.com/media/uploads/p/m/40020506_2-fresho-multigrain-bread-safe-preservative-free.jpg
PRO092,CAT008,Canned fish and poultry,120.0,263,200.0,10.0,13.0,9.0,https://www.bigbasket.com/media/uploads/p/m/40037995_7-golden-prize-canned-mackerel-in-brine.jpg
PRO093,CAT008,Grains,180.0,111,1000.0,15.0,6.0,9.0,https://www.bigbasket.com/media/uploads/p/m/284422_8-aashirvaad-atta-multigrains.jpg
PRO094,CAT008,Jerky,123.0,208,80.0,15.0,6.0,8.0,https://www.bigbasket.com/media/uploads/p/m/30005124_12-pedigree-meat-jerky-stix-grilled-liver-flavour-for-adult-dogs.jpg
PRO095,CAT008,Apricot,149.0,120,200.0,15.0,6.0,9.0,https://www.bigbasket.com/media/uploads/p/m/20001095_13-fresho-apricot-dried.jpg
PRO096,CAT008,Almonds,849.0,140,1000.0,13.0,5.0,9.0,https://www.bigbasket.com/media/uploads/p/m/40101871_11-bb-royal-organic-almondbadam.jpg
PRO097,CAT008,Pistachios,420.0,133,200.0,18.0,7.0,9.0,https://www.bigbasket.com/media/uploads/p/m/10000522_11-bb-royal-kernel-plain.jpg
PRO098,CAT008,Betel Nut,185.0,257,200.0,16.0,8.0,7.0,https://www.bigbasket.com/media/uploads/p/m/40208174_1-marudhar-jhilmil-supari.jpg
PRO099,CAT008,Dry Coconut,60.0,127,125.0,17.0,6.0,8.0,https://www.bigbasket.com/media/uploads/p/m/40152633_1-fresho-dry-copracoconut.jpg
PRO100,CAT008,Dried Figs,280.0,168,200.0,16.0,8.0,8.0,https://www.bigbasket.com/media/uploads/p/m/40203668_1-bb-royal-organic-anjeerfigs.jpg
PRO101,CAT008,Cashew,520.0,190,500.0,15.0,6.0,8.0,https://www.bigbasket.com/media/uploads/p/m/40092230_12-bb-royal-organic-cashewkaju-whole-bold.jpg
PRO102,CAT008,Cudpahnut,549.0,263,450.0,13.0,5.0,9.0,https://www.bigbasket.com/media/uploads/p/m/1200933_2-tong-garden-cashew-nuts-salted.jpg
PRO103,CAT008,Dates,66.0,250,250.0,16.0,8.0,8.0,https://www.bigbasket.com/media/uploads/p/m/271047_1-lion-dates-deseeded.jpg
PRO104,CAT008,Walnut,650.0,240,500.0,15.0,6.0,8.0,https://www.bigbasket.com/media/uploads/p/m/10000537_12-bb-popular-walnutakhrot-kernels.jpg
PRO105,CAT009,Paring knife,60.0,221,50.0,21.0,1.0,2.0,https://www.bigbasket.com/media/uploads/p/m/40214138_1-nabhas-wooden-knife-140-mm.jpg
PRO106,CAT009,Cutting board,200.0,140,350.0,45.0,3.0,22.0,https://www.bigbasket.com/media/uploads/p/m/40192943_1-anjali-premium-choppingcutting-board-versa-green-10-mm-thick.jpg
PRO107,CAT009,Measuring cups and spoons,175.0,234,25.0,16.0,,1.0,https://www.bigbasket.com/media/uploads/p/m/40136176_2-iveo-100-melamine-soup-bowl-with-spoon-set-red.jpg
PRO108,CAT009,Kitchen shears,75.0,163,125.0,19.0,1.0,1.0,https://www.bigbasket.com/media/uploads/p/m/40113355_1-liao-kitchen-tile-brush-multifuction.jpg
PRO109,CAT009,Colander,203.0,193,200.0,32.0,20.0,20.0,https://www.bigbasket.com/media/uploads/p/m/40185992_3-bb-home-steel-colander-strainer-no-12.jpg
PRO110,CAT009,Can opener,229.0,184,350.0,22.0,,,https://www.bigbasket.com/media/uploads/p/m/40022000_2-fackelmann-can-opener.jpg
PRO111,CAT009,Mixing bowls,199.0,249,65.0,13.0,10.0,12.0,https://www.bigbasket.com/media/uploads/p/m/40136592_1-cello-toughened-glass-mixing-bowl-ornella-clear.jpg
PRO112,CAT009,Blender,149.0,215,45.0,22.0,,,https://www.bigbasket.com/media/uploads/p/m/40186892_5-anjali-power-free-blender-green-grey.jpg
PRO113,CAT009,Grater,65.0,259,25.0,28.0,1.0,10.0,https://www.bigbasket.com/media/uploads/p/m/40117698_1-kvg-grater-stainless-steel-oval-khumni.jpg
PRO114,CAT009,Whisk,125.0,248,15.0,25.0,,,https://www.bigbasket.com/media/uploads/p/m/40162918_3-anjali-stainless-steel-beaterwhisk-small.jpg
PRO115,CAT009,Rolling pin,229.0,153,250.0,22.0,5.0,5.0,https://www.bigbasket.com/media/uploads/p/m/40164971_2-bamboooz-rolling-pinbelan-bamboo-wood-125-inch.jpg
PRO116,CAT009,Food scale,145.0,166,,,,,https://www.bigbasket.com/media/uploads/p/m/1204317_1-classmate-scale-plastic-30-cm.jpg
PRO117,CAT009,Saucepans,679.0,166,1250.0,43.0,14.0,14.0,https://www.bigbasket.com/media/uploads/p/m/40014084_3-hawkins-futura-hard-anodised-ezee-pour-saucepan-without-lid-l87.jpg
PRO118,CAT009,Skillet,165.0,240,450.0,43.0,6.0,14.0,https://www.bigbasket.com/media/uploads/p/m/40022944_3-skittles-candy-crazy-sours.jpg
PRO119,CAT009,Cooling rack,39.0,230,500.0,65.0,25.0,36.0,https://rukminim1.flixcart.com/image/612/612/kmf7ki80/toast-rack/0/w/d/1pc-non-stick-wire-cookie-cooling-rack-for-baking-oven-safe-tool-original-imagfbmxkgauhpza.jpeg?q=70
PRO120,CAT009,Grill pan,2185.0,227,450.0,43.0,6.0,14.0,https://rukminim1.flixcart.com/image/612/612/kj4m0sw0-0/grill/d/p/j/aluminium-non-stick-non-induction-23-cm-square-grill-pan-original-imafyrgvz49fnnmc.jpeg?q=70
PRO121,CAT010,Dish towel,325.0,197,250.0,80.0,2.0,32.0,https://rukminim1.flixcart.com/image/612/612/knhsgi80/bath-towel/h/c/o/bath-towels-2-bt-001-abhichahat-original-imag25mvbmkumbzw.jpeg?q=70
PRO122,CAT010,Ironing board,2545.0,141,650.0,120.0,80.0,65.0,https://rukminim1.flixcart.com/image/612/612/k7usyvk0/ironing-board/v/j/m/fsb-ib-401d-flipkart-smartbuy-original-imafpzvqdn4ndjha.jpeg?q=70
